date,country.value,CC.CO2.EMSE.BF,CC.CO2.EMSE.BL,CC.CO2.EMSE.EL,CC.CO2.EMSE.EN,CC.CO2.EMSE.FE,CC.CO2.EMSE.IL,CC.CO2.EMSE.IP,CC.CO2.EMSE.LU,CC.CO2.EMSE.MC,CC.CO2.EMSE.TR,EG.ELC.ACCS.ZS,EG.ELC.FOSL.ZS,EG.ELC.NUCL.ZS,EG.ELC.RNEW.ZS,EG.ELC.RNWX.ZS,EG.USE.COMM.GD.PP.KD,EG.USE.ELEC.KH.PC,EG.USE.PCAP.KG.OE,EN.ATM.CO2E.KT,EN.ATM.CO2E.PC,EN.ATM.CO2E.PP.GD,EN.URB.LCTY.UR.ZS,EN.URB.MCTY.TL.ZS,NE.GDI.TOTL.ZS,NY.GDP.MKTP.KD,NY.GDP.MKTP.KD.ZG,NY.GDP.PCAP.KD,NY.GDP.PCAP.KD.ZG,NY.GNP.PCAP.CD,SE.PRM.CMPT.ZS,SE.PRM.ENRL.TC.ZS,SE.SEC.CMPT.LO.ZS,SE.SEC.ENRL.TC.ZS,SE.TER.ENRL.TC.ZS,SH.DYN.MORT,SH.H2O.BASW.ZS,SH.IMM.MEAS,SH.STA.SMSS.ZS,SI.POV.DDAY,SI.POV.GINI,SI.POV.LMIC,SI.POV.UMIC,SL.EMP.TOTL.SP.ZS,SL.TLF.CACT.ZS,SP.DYN.LE00.IN,SP.POP.GROW,SP.POP.TOTL,SP.RUR.TOTL.ZG,SP.URB.GROW,SP.URB.TOTL.IN.ZS,TX.VAL.FUEL.ZS.UN,NY.GDP.MKTP.KD_std,NY.GDP.PCAP.KD_std,EN.ATM.CO2E.KT_std,EN.ATM.CO2E.PC_std
1981,China,,,,,,,,,,,,78.8049277330488,0,,0,,285.817775698396,597.14671013246,,,,3.06130663286938,8.33698445997273,32.9487495627914,444385648943.325,5.11276109058944,447.11978643739,3.77490366463378,220,,26.59745,,17.90215,5.90136,59.8,,,,,,,,,,64.975,1.28095234429252,993885000,0.334046362936972,5.13186895071821,20.118,,-0.47377408827685,-1.2497869620298,,
1981,Finland,,,,,,,,,,,,30.7780683957075,35.8478574396832,,0,,8493.60536870693,4934.58846774684,,,,19.7179344144947,14.3010239243461,28.3972994982531,115838693345.703,1.3158788537492,24133.242113004,0.884671017793906,11980,,14.38772,,13.2317,,8.2,,70,,,,,,,,73.7465853658537,0.426515644912231,4799964,-2.44749599061826,1.53706567672621,72.528,4.22187743541979,-0.493989965871623,0.135235968360078,,
1981,France,,,,,,,,,,,,35.3227152341908,38.2128215361173,,0.275006349091173,,4585.46528398489,3382.78109764374,,,,21.4000311406151,22.298965502619,23.518730943067,1314153853595.82,1.06901983853727,23733.5935655434,0.487729693532614,13200,,,,,,11.9,,,,,,,,,,74.3,0.576802074833317,55371044,0.31446296772529,0.672277762886187,73.352,4.66587661149732,-0.420256235618326,0.111866908845043,,
1981,Germany,,,,,,,,,,,,80.6671270393405,14.0106512848032,,0.627275584356166,,5832.06487070239,4399.49982340429,,,,5.33215006681822,8.87934044713118,24.6061315874776,1870461852829.7,0.529240556536067,23855.5258569738,0.376242532945767,12540,,,,,,14.1,,50,,,,,,,,73.0402195121951,0.152308489359723,78407907,-0.383074393767173,0.351166261088232,72.989,3.96671106023062,-0.386025955209706,0.118996780812168,,
1981,India,,,,,,,,,,,,60.247865185521,2.28292904103378,,0,,152.415036395634,294.778366230046,,,,5.69921499577159,10.0237115275513,25.5601376265736,287216122417.651,6.00620362601497,402.901518165328,3.62086273029134,300,,,,,,163.9,,,,,,,,,,54.175,2.27589299161564,712869298,1.86021643634127,3.64751557445444,23.417,0.427624301562995,-0.483444912662034,-1.25237258219398,,
1981,Mexico,,,,,,,,,,,,65.0587093511216,0,,1.31771395765272,,928.997524315049,1466.88886748315,,,,28.6595105936565,35.1002369956199,25.9443022589866,611422385105.064,9.58584115454994,8831.27401463676,7.16634188058227,3300,86.0558319091797,39.08709,47.8248481750488,17.68173,11.97462,68.5,,33,,,,,,,,65.313,2.23259552808724,69233769,0.642527387593965,3.0298432250845,66.87,72.1018186687492,-0.463496122967649,-0.759531710542012,,
1981,Russian Federation,,,,,,,,,,,,,,,,,,,,,,8.37119680986386,19.1337477937131,,,,,,,,27.94884,,,,27,,,,,,,,,,67.2639024390244,0.667503222289735,139941000,-0.80448278621776,1.29918653747044,70.193,,,,,
1981,United Kingdom,,,,,,,,,,,,84.7067369722115,13.7222304542514,,0,,4572.95384625817,3415.37757002103,,,,15.1304571347384,25.9143560080036,19.3697939312857,1314346855476.68,-0.787743889455356,23331.3956961222,-0.822285301137072,10670,,,,,,13.4,,55,,0,29.7,0.2,1,,,74.0268292682927,0.0348217320561183,56333829,-0.463656291205039,0.171068339159299,78.588,18.9591957031817,-0.420244359987363,0.0883487802116566,,
1981,United States,,,,,,,,,,,,77.0726098717124,11.8601211970009,,0.263477093372901,,9976.69371497302,7647.53805356785,,,,9.22792452861792,41.1891169062083,24.2768645614446,7241747173000,2.53770126730302,31559.1293394228,1.53630241719003,14360,,,,,,14.4,,97,,0.5,35.5,0.7,1.5,,,74.009756097561,0.981415437259678,229466000,0.400952470198684,1.18733797133269,73.89,4.53751586869299,-0.0555245011279054,0.569457490366807,,
1981,World,,,,,,,,,,,,56.2662068226007,9.03459243137521,,0.380435213999688,,1592.22868533214,1410.47290600474,,,,17.9158067280937,16.9291991556769,25.5811037180963,27004675633280.4,1.92641603118182,5973.17328821657,0.154898088053955,2935.30164691757,80.550163269043,28.16444,,16.70502,,,,15.2106349181145,,43.8,,58,68.6,,,62.6114017653031,1.76877813960772,4520993169,1.05560721180203,2.86830776609195,39.7551594587841,14.0919388548796,1.16051155052429,-0.92665636644299,,
